基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
018124,永赢先进制造智选混合发起A,2025-07-18,1.9354,1.9354,-0.98,9.94,8.45,14.65,26.18,150.47,68.34,,53.02,93.54,93.54
018125,永赢先进制造智选混合发起C,2025-07-18,1.9189,1.9189,-0.98,9.93,8.42,14.53,25.93,149.47,66.98,,52.68,91.89,91.89
021237,合煦智远嘉悦利率债A,2025-07-18,1.0267,2.3683,0.01,0.03,0.09,0.27,0.55,137.61,,,0.55,137.63,137.63279
021238,合煦智远嘉悦利率债C,2025-07-18,1.2457,2.3643,0.01,0.02,0.07,0.21,0.41,136.95,,,0.4,136.95,136.951515
014938,同泰产业升级混合A,2025-07-18,1.7023,1.7023,-0.94,5.61,5.91,8.18,99.99,133.61,104.8,57.02,110.84,70.23,70.23
014939,同泰产业升级混合C,2025-07-18,1.68,1.68,-0.94,5.6,5.87,8.07,99.6,132.65,103.17,55.15,110.37,68.0,68.0
016530,鹏华碳中和主题混合A,2025-07-18,1.5612,1.5612,-1.08,9.53,7.9,12.54,26.88,131.32,50.42,,57.35,56.12,56.12
016531,鹏华碳中和主题混合C,2025-07-18,1.5407,1.5407,-1.09,9.51,7.85,12.37,26.49,129.96,48.63,,56.83,54.07,54.07
320016,诺安多策略混合A,2025-07-18,2.861,2.861,0.46,2.18,10.55,29.81,47.32,121.1,85.06,40.31,48.24,186.1,186.1
015915,永赢医药创新智选混合发起A,2025-07-18,1.8718,1.8718,2.11,15.15,20.54,52.78,108.3,118.57,91.08,,106.37,87.18,87.18
015916,永赢医药创新智选混合发起C,2025-07-18,1.8529,1.8529,2.11,15.14,20.51,52.55,107.79,117.6,89.59,,105.83,85.29,85.29
019457,平安先进制造主题股票发起A,2025-07-18,1.7175,1.7175,-0.45,6.34,10.0,19.72,39.94,116.97,,,62.41,71.75,71.75
