基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
019116,东财卓越成长C,2025-08-01,1.2732,1.2732,-0.27,-0.19,7.94,19.65,26,60.86,,,25.6,27.32,27.32
011306,富国低碳新经济混合C,2025-08-01,2.768,2.768,-2.05,4.06,9.71,26.39,32.63,60.84,19.31,0.11,32.63,-11.88,-11.875199
010490,鹏华高质量增长混合A,2025-08-01,0.9215,0.9215,0.11,4.93,10.4,26.89,27.46,60.74,20.77,-5.57,28.08,-7.85,-7.85
017147,嘉实积极配置一年持有混合A,2025-08-01,1.2124,1.2124,-1.57,-1.53,6.74,14.88,31.27,60.73,22.63,,26.61,21.24,21.24
018326,国泰君安创新成长混合发起C,2025-08-01,0.9798,0.9798,-0.76,3.31,11.45,21.79,25.55,60.73,11.91,,28.41,-2.02,-2.02
013721,信澳景气优选混合A,2025-08-01,1.1472,1.1472,0.08,4.91,11.12,33.88,18.55,60.69,54.76,19.79,25.14,14.72,14.72
014728,易方达成长动力混合C,2025-08-01,1.4974,1.4974,-1.93,5.88,18.65,36.64,36.3,60.68,55.9,37.59,37.49,49.74,49.74
002863,金信深圳成长混合A,2025-08-01,2.4872,3.1366,0.04,2.82,10.92,22.43,34.74,60.65,26.4,57.77,33.71,232.57,232.569228
010470,圆信永丰聚优股票C,2025-08-01,1.2596,1.2596,0.6,0.39,7.03,21.68,35.18,60.64,30.75,31.55,35.67,25.96,25.96
010779,西部利得量化优选一年持有A,2025-08-01,1.1548,1.3648,0.73,-0.12,6.56,21.04,29.1,60.59,35.59,25.55,30.25,38.05,38.050802
012729,国泰中证动漫游戏ETF联接C,2025-08-01,1.3594,1.3594,0.18,0.51,-0.07,15.79,27.17,60.55,6.06,58.79,27.9,35.94,35.94
017547,天弘国证2000指数增强A,2025-08-01,1.1997,1.1997,0.46,0.09,9.08,20.13,30.6,60.47,24.7,,29.85,19.97,19.97
017125,华宝中证港股通互联网ETF发起联接A,2025-08-01,1.2192,1.2192,-1.38,-3.05,3.32,9.13,25.25,60.46,23.28,,26.95,21.92,21.92
007578,宝盈新锐混合C,2025-08-01,2.697,2.697,0.78,-0.04,4.94,18.03,22.93,60.44,6.43,-27.54,25.44,64.05,64.051095
011369,华商均衡成长混合A,2025-08-01,1.1669,1.1669,-0.94,5.6,17.64,38.03,40.68,60.44,30.85,25.3,40.52,16.69,16.69
007356,汇添富科技创新混合C,2025-08-01,2.5106,2.5106,-1.73,2.24,12.97,23.16,25.67,60.4,28.73,20.23,30.28,151.06,151.06
