基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
018113,工银北证50成份指数C,2025-08-01,1.5531,1.5531,-0.22,-2.58,-2.46,6.38,31.1,83.39,69.65,,33.23,55.31,55.31
011145,华安汇宏精选混合C,2025-08-01,1.4784,1.4784,-1.85,5.1,20.28,42.99,44.98,83.31,69.66,60.19,46.67,47.84,47.84
014314,鹏华创新增长一年持有期混合C,2025-08-01,1.5236,1.5236,-0.24,1.97,11.57,28.15,75.41,83.15,55.36,52.15,72.41,52.36,52.36
011356,华泰柏瑞港股通时代机遇混合C,2025-08-01,0.6007,0.6007,-0.22,-3.89,4.11,11.26,33.19,83.08,1.93,-0.23,33.13,-39.93,-39.93
013941,东吴医疗服务股票C,2025-08-01,0.8288,0.8288,-2.04,3.91,17.81,41.8,69.11,83.04,40.19,0.56,69.45,-17.12,-17.12
017521,富国北证50成份指数A,2025-08-01,1.343,1.343,-0.22,-2.57,-2.46,6.57,31.23,82.42,53.17,,33.72,34.3,34.3
001194,景顺长城稳健回报混合A,2025-08-01,2.714,2.779,-1.31,4.91,21.59,42.39,31.17,82.39,90.46,87.56,39.9,184.07,184.073132
017835,信澳匠心回报混合A,2025-08-01,1.7413,1.7413,0.83,1.83,9.23,33.88,53.91,82.35,,,60.7,74.13,74.13
017522,富国北证50成份指数C,2025-08-01,1.3358,1.3358,-0.22,-2.57,-2.48,6.51,31.09,82.06,52.56,,33.57,33.58,33.58
001407,景顺长城稳健回报混合C,2025-08-01,2.63,2.693,-1.31,4.86,21.53,42.32,31.04,82.01,89.34,86.13,39.67,170.03,170.034543
160125,南方香港优选股票,2025-07-31,1.6333,1.7233,-1.39,-1.56,3.77,12.03,37.88,81.82,59.19,57.05,41.28,77.61,
017525,华夏北证50成份指数A,2025-08-01,1.3577,1.3577,-0.22,-2.58,-2.46,6.65,31.75,81.78,56.63,,34.23,35.77,35.77
017527,嘉实北证50成份指数A,2025-08-01,1.3807,1.3807,-0.22,-2.58,-2.49,6.01,30.66,81.65,54.11,,33.03,38.07,38.07
017483,财通资管数字经济混合发起式A,2025-08-01,1.5195,1.6145,0.09,0.8,12.25,19.61,34.44,81.57,48.57,,43.55,64.57,64.574179
017836,信澳匠心回报混合C,2025-08-01,1.7222,1.7222,0.83,1.82,9.17,33.7,53.47,81.32,,,60.16,72.22,72.22
017526,华夏北证50成份指数C,2025-08-01,1.3473,1.3473,-0.22,-2.6,-2.49,6.56,31.55,81.23,55.7,,33.98,34.73,34.73
017523,南方北证50成份指数发起A,2025-08-01,1.3171,1.3171,-0.22,-2.61,-2.49,5.18,29.69,81.22,53.79,,31.74,31.71,31.71
017528,嘉实北证50成份指数C,2025-08-01,1.3716,1.3716,-0.22,-2.59,-2.51,5.95,30.5,81.19,53.35,,32.83,37.16,37.16
090019,大成景恒混合A,2025-08-01,3.272,4.3803,0.65,1.5,7.77,21.29,32.08,80.99,37.59,54.49,30.45,338.03,338.029289
019189,华商品质价值混合A,2025-08-01,1.5948,1.5948,-0.74,1.88,8.32,19.25,34.83,80.96,,,30.9,59.48,59.48
017484,财通资管数字经济混合发起式C,2025-08-01,1.5034,1.5984,0.09,0.8,12.22,19.51,34.19,80.88,47.4,,43.24,62.91,62.90808
017524,南方北证50成份指数发起C,2025-08-01,1.3069,1.3069,-0.22,-2.61,-2.51,5.11,29.5,80.69,52.87,,31.51,30.69,30.69
